id,name
1,Mike Harrison
2,Tina Britt
3,Bruce Becvar
4,Rocio Jurado
5,Walter Jackson
6,New Found Glory
7,Shamen
8,Memphis Jug Band
9,The New York Dolls
10,Carlos Barbosa-lima
11,Grace Gale
12,The Jackson Southernaires
13,Janitor Joe
14,Mandi
15,Ben Sidran
16,Green Day
17,Peter Gabriel
18,Shunza
19,Jacques Douai
20,Papa Wemba
21,Glen Washington
22,Donna The Buffalo
23,Seatrain
24,Cassidy Featuring R. Kelly
25,Big Mountain
26,The Cliks
27,Bob Marley
28,The Isley Brothers
29,Tum Tum
30,Dope Stars Inc.
31,Starski And Clutch
32,Leona Naess
33,Mademoiselle Sane
34,antonio Zerbini
35,Venice
36,Mills Brothers
37,Ale Möller
38,Zee
39,Saf
40,Kyle Eastwood
41,Extrabreit
42,Jack Sheldon
43,Casa Bulga
44,Crusaders
45,Aynsley Lister
46,Varios Artistas De Rumba
47,The Pointer Sisters
48,Studio
49,Eumir Deodato
50,Wilmington Chester Mass Choir
51,Rocket From The Tombs
52,Joi
53,Us Coast Guard Band
54,Gene Simmons
55,Eberhard Weber
56,Raymond Lefèvre
57,Johnny Carver
58,Beto Cuevas
59,Rhian Sheehan
60,Bruford
61,Faces
62,Kekele
63,New Direction
64,Los Muñequitos De Matanzas
65,The Leroi Brothers
66,Velvet Underground
67,Auf Der Maur
68,Bela Fleck And The Flecktones
69,Beenie Man Featuring Wyclef And Redman
70,The Crystal Method
71,Alexisonfire
72,Daler Mehndi
73,Junior Murvin
74,nicola Zaccaria
75,Clifton Chenier
76,Point Of Grace
77,Tom Robinson
78,Daara J
79,Spitfire
80,Fake Problems
81,Freeway
82,Super Cat
83,Frankie Goes To Hollywood
84,The Lincoln Penny Orchestra
85,Kenny G Featuring Daryl Hall
86,Ill Harmonics
87,Pitch Black
88,The Cat's Miaow
89,Junior M. A. F. I. A.
90,Irish Tenors
91,Dolores Keane
92,Domino Fats
93,Toni Braxton Featuring Shaggy
94,Grupo Sierra Maestra
95,The Chi Lites
96,Public Image Ltd
97,Lou Ann Barton
98,Billy Higgins
99,Lionel Richie
100,Bobbie Gentry
101,Shirley Caesar
102,Barbara Jones
103,Sex Machine Ft. Shèna
104,Ideal
105,M Sane
106,Keb'mo'
107,Sin Plomo
108,Rummage
109,Michael Stanley Band
110,Nicola Fasano Feat. Paula B
111,Kenny G Featuring Brian Mcknight
112,Strata
113,Garfunkel
114,2fresh
115,C.c. Adcock
116,Muse
117,Facto Delafe Y Las Flores Azules
118,Gene Latter
119,Lord Sterling
120,Dcx
121,The Keys
122,The Cardigans
123,Alkonost
124,Kevin Burke
125,Jayo Felony & 40 Glocc
126,Nitin Sawhney
127,Rose Royce
128,Karen Dalton
129,Yuko Kanzaki
130,Judy Clay And William Bell
131,Hellsongs
132,van Morrison
133,David Banner
134,Brice Kapel
135,Tzant Feat. Odc Mc
136,Alex Theory
137,Babbu Maan
138,Deville
139,Millie Jackson
140,Long Beach Dub Allstars
141,Desert Dwellers
142,Vex'd
143,Kanye West
144,Flink
145,Jessie Lee Miller
146,Clare Moore
147,Robin Huw
148,Derek Bell
149,The Radio Department
150,Guns N’ Roses
151,Tammy Pescatelli
152,Dishwalla
153,Hoods
154,Dj X-change
155,Mn
156,Ben E King
157,The Flirts
158,Scott Matthews
159,Warren G And Nate Dogg
160,Loudon Wainwright Iii
161,Saarbrücken Radio Symphony Orchestra
162,Fito Paez
163,Cristina Pato - Mutenrohi
164,John Holt
165,Atomic Rooster
166,Steven Halpern
167,Dart
168,Janet Kay
169,Michèle Bernard
170,N.e.r.d.
171,Kassav'
172,The Handsome Family
173,Attack Attack
174,Eminem
175,Dropline
176,Music Explosion
177,Renato Borghetti
178,Tapineria
179,The Knux
180,Mr Vegas
181,Michael English
182,Esperanza Spalding
183,20
184,Degarmo
185,Young
186,Stephy Tang
187,Jauida
188,The Tragically Hip
189,Alexander O'neal
190,Guillaume Ledent
191,Dj Omega
192,The Righteous Brothers
193,Vusi Mahlasela
194,Sick Puppies
195,Armageddon
196,Riamiwo
197,Public Enemy
198,Nik
199,Laura Mikkola
200,The Shangri-las
201,Vic Chesnutt
202,Joe Cooley
203,Abbott
204,Nicola Fasano Feat. Paula B.
205,God Lives Underwater
206,Tone Loc
207,Michael Salgado
208,Lacy J. Dalton
209,J. Karjalainen
210,Michael Gettel
211,Ana Popovic
