id,name,theme,year,duration,tempo,album_id,spotify_url
1,Deep Sea Creature,Heartbreak,2001,280.21506,173.205,7114,https://open.spotify.com/track/3kpdcl625qW3JW3bT9LpIy
2,I Didn't Mean To,Life And Death,0,218.93179,92.198,1355,https://open.spotify.com/track/5fwNR9T3IlL8CCTkvPXMy8
3,Soul Deep,People And Places,1969,148.03546,121.274,3744,https://open.spotify.com/track/5nmr0qCA3JXN2MRdEDUFi6
4,Amor De Cabaret,Heartbreak,0,177.47546,100.07,53,https://open.spotify.com/track/5JeyXbf7CrVQ8DqwFikN0P
5,Something Girls,Politics And Protest,1982,233.40363,119.293,1109,https://open.spotify.com/track/2OafHc3DmFE49MqNhQMi0z
6,Face The Ashes,Life And Death,2007,209.60608,129.738,6566,https://open.spotify.com/track/2YoX0dLXiK3uKDm7MpL63C
7,The Moon And I (ordinary Day Album Version),Life And Death,0,267.7024,147.782,8288,https://open.spotify.com/track/7ERvcsBBYzSHqQQqlI9xAN
8,Keepin It Real (skit),Politics And Protest,0,114.78159,111.787,318,https://open.spotify.com/track/429m0XAjwZvKz5vvmu6xLk
9,Drop Of Rain,Politics And Protest,0,189.57016,101.43,1466,https://open.spotify.com/track/14NEgZFbFI38a0TsxaKNoV
10,Pink World,Politics And Protest,1984,269.81832,86.643,8307,https://open.spotify.com/track/3mtGoEJPXSFO2Lz5pw45ya
11,Insatiable (instrumental Version),Politics And Protest,0,266.39628,114.041,876,https://open.spotify.com/track/7pMOvSP7btxM04kj9EV3pL
12,Young Boy Blues,Party Songs,0,218.77506,146.765,5221,https://open.spotify.com/track/0qqGmtLGZidu6B5WrH6dh3
13,The Urgency (lp Version),People And Places,0,245.21098,117.975,6504,https://open.spotify.com/track/0Lo9QDvGwzJ4PuwsI9tYNb
14,La Culpa,Life And Death,0,226.35057,130.04,6698,https://open.spotify.com/track/76AhmOfTWXbCVXkZaDfRY5
15,Auguri Cha Cha,Life And Death,0,191.84281,137.334,2106,https://open.spotify.com/track/2Jr12fpsMdIM6weoUDMf9u
16,Tonight Will Be Alright,Politics And Protest,1986,307.3824,125.197,3609,https://open.spotify.com/track/64ew4YySHotjsaK84vgALz
17,Floating,Politics And Protest,1987,491.12771,119.826,478,https://open.spotify.com/track/165NAtd2DRPKNQ6EVY0VG9
18,High Tide,Life And Death,0,228.5971,127.756,1023,https://open.spotify.com/track/3ukWqBHE8jIlRSKNP99I7X
19,Sohna Nee Sohna Data,Life And Death,0,599.24853,99.273,8036,https://open.spotify.com/track/4Q2UbOhGxHwoa3QuLHYQjh
20,Caught In A Dream,Life And Death,2004,290.29832,150.062,7977,https://open.spotify.com/track/0akUN2D9QcCfbNqPmgnkfQ
21,Synthetic Dream,Heartbreak,0,165.69424,138.331,3506,https://open.spotify.com/track/1QHiJMpHVgAJUvwnCrEZ60
22,Broken-down Merry-go-round,Party Songs,0,151.84934,86.186,3765,https://open.spotify.com/track/6VqKuCT00NNkQweaiBp88V
23,Kassie Jones,Party Songs,0,220.78649,110.382,916,https://open.spotify.com/track/2ZyNYdziwt0ZS9mxRiwnXM
24,Setanta Matins,Politics And Protest,0,269.58322,111.874,5458,https://open.spotify.com/track/1N58xQLv5FZ6LgEfcxVByP
25,Setting Fire To Sleeping Giants,Politics And Protest,2004,207.77751,166.862,921,https://open.spotify.com/track/5zfmoSvaYvL8AghyrdhXmV
26,James (hold The Ladder Steady),People And Places,1985,124.86485,137.522,3049,https://open.spotify.com/track/5KZSRoDwhKYu2ermOEWBKo
27,Made Like This (live),Life And Death,0,225.09669,164.672,6560,https://open.spotify.com/track/69B68Pfllp2jTX9sKn2hH9
28,Superconfidential,Politics And Protest,0,338.31138,125.006,4613,https://open.spotify.com/track/7niuMOt2CzTn50CIcDcOnP
29,I Think My Wife Is Running Around On Me (taco Hell),People And Places,2005,186.48771,90.022,353,https://open.spotify.com/track/6rbqQ2lN1TEdKngsLZEpzy
30,Spanish Grease,People And Places,1997,168.25424,127.025,1546,https://open.spotify.com/track/2dq9mEgzYTlz3GnZrkQM4Z
31,Crazy Mixed Up World,People And Places,1961,156.39465,95.957,7551,https://open.spotify.com/track/5ZBeML7Lf3FMEVviTyvi8l
32,Do You Finally Need A Friend,People And Places,1972,342.56934,110.189,2396,https://open.spotify.com/track/5znF22Dbezia6afmQEOfrK
33,The Emperor Falls,People And Places,0,484.62322,138.007,4803,https://open.spotify.com/track/5DPfEdyjJpt1PpFOKSAcW3
34,Twist And Shout,Politics And Protest,1964,164.80608,130.1,4995,https://open.spotify.com/track/4RlRwnxwwLmsgwUN0PSKEe
35,It Makes No Difference Now,Politics And Protest,1992,133.32853,160.839,5976,https://open.spotify.com/track/7idHNbQRNVyIGDi7ZHyxof
36,Laws Patrolling (album Version),Politics And Protest,0,173.66159,41.993,1590,https://open.spotify.com/track/3NT02f7vaipCVeUalEFJqB
37,¿dónde Va Chichi?,Life And Death,1997,313.12934,189.646,3057,https://open.spotify.com/track/34Y8NQEYnqLS0QnUs6PCKc
38,"barking Dogs (from Piouhgd"")""",Party Songs,0,450.84689,130.586,6574,https://open.spotify.com/track/4ePP9So5xRzspjLFVVbj90
39,Oute Ena Efharisto,Sex,0,303.09832,128.292,7550,https://open.spotify.com/track/0Mog1Cm2y7aEmhiQx3UgHh
40,Midnight Swim,Politics And Protest,0,128.83546,90.932,7443,https://open.spotify.com/track/0cMEy4BifIZNVEAa4ZtBLP
41,In A Subtle Way,People And Places,0,456.30649,89.667,3600,https://open.spotify.com/track/3b6A9CRGEIFU4NzSZt4rQY
42,Spin,Sex,2007,198.73914,115.061,1682,https://open.spotify.com/track/67KczQZbT5xj285LgGzbqX
43,Burning In The Aftermath,Life And Death,2003,95.68608,115.887,3500,https://open.spotify.com/track/5HjBpej4uHPAX8sMeUFJms
44,Angie (1993 Digital Remaster),Life And Death,0,271.49016,139.333,7963,https://open.spotify.com/track/5YXboeEat0SdIXqZZr1Udc
45,Sabor Guajiro,Heartbreak,0,226.66404,117.271,6064,https://open.spotify.com/track/49deaC0YW49Q0goAaHAIii
46,Human Cannonball,People And Places,1995,190.48444,102.428,1802,https://open.spotify.com/track/5qqX3y9HHCDJOeSWe2Vkzy
47,Glory Be,People And Places,2004,277.78567,89.984,8379,https://open.spotify.com/track/7tGlzXJv6GD5e5qlu5YmDg
48,Crossfire,Party Songs,1992,248.78975,116.721,5009,https://open.spotify.com/track/2e4FBygHA19B233VpRmEMC
49,I Can't Be Satisfied,Life And Death,2002,195.3171,123.142,3730,https://open.spotify.com/track/343iM3EtxR7VG6ike05upP
50,Nashville Parthenon,People And Places,2006,175.72526,141.919,3660,https://open.spotify.com/track/5zSRaUFR1yTB60FRl2ll9n
51,Cocain Ducks,Politics And Protest,1995,217.23383,95.596,6807,https://open.spotify.com/track/0IDoJJD5rea4Em9JZA8Wh2
52,Human Being,Life And Death,1974,344.05832,154.953,2757,https://open.spotify.com/track/24JJVSTsuITy33xTWLvagK
53,The More I See You,Love,2009,251.42812,86.091,1236,https://open.spotify.com/track/4nBAagoVwVWRcDUhipTjhN
54,Certain Things We Do,Life And Death,1997,269.7922,90.218,8062,https://open.spotify.com/track/5sStO6h1gsurZXbrxVpg16
55,Forming,Party Songs,1977,206.05342,133.144,5645,https://open.spotify.com/track/6QQvbuTj01JpaESjxm5kMY
56,Mafuá,Life And Death,0,190.04036,205.317,2549,https://open.spotify.com/track/4WrwO9Un3ji5wnNySDGHwQ
57,Driving Home For Christmas,Politics And Protest,1986,241.162,180.149,6258,https://open.spotify.com/track/19CFaRVxBHz6VnR9IGdtGt
58,Spooks In Space,People And Places,1966,122.64444,102.538,4147,https://open.spotify.com/track/0v9WHRnUJ5bzyRUoeVj83l
59,Tous Les Garçons Et Les Filles,Politics And Protest,1985,207.0722,84.164,6913,https://open.spotify.com/track/3L2vZkWxlGn9Ix3ahwozGF
60,Too Much Saturn,Politics And Protest,1995,300.79955,124.175,8494,https://open.spotify.com/track/46FkE2WIHXovSd7aKqSk69
61,Movement 4 [from Kiss] (album Version),Politics And Protest,1997,228.46649,137.004,4192,https://open.spotify.com/track/0HvjwIVLZA23YsAfuQB1pm
62,Stream,Heartbreak,0,239.59465,106.33,2520,https://open.spotify.com/track/46mov5j25a6BXrxNQKUwiA
63,Make Me Over,Heartbreak,0,228.93669,107.961,3935,https://open.spotify.com/track/6ECfAo1LhhIuiCQdRdpZqU
64,Deform (live),Love,2000,165.61587,174.287,5624,https://open.spotify.com/track/060aWWmC9CrLqbhzHQifQf
65,Wicker Chair,Heartbreak,2003,187.92444,116.823,2147,https://open.spotify.com/track/3SbmxZl4YPO0V5SBrpw5an
66,An Ti Chans',Politics And Protest,0,276.50567,101.972,5248,https://open.spotify.com/track/5ngJLwHD19E993QJSuEN3V
67,I Will Love Again (jj's Club Radio),Politics And Protest,0,200.25424,127.97,2121,https://open.spotify.com/track/4jZjaiJXtfaZZKqhrMuJz1
68,Stickin In My Eye,Party Songs,1992,144.50893,152.622,8073,https://open.spotify.com/track/4JyMoznkRseonxgmyrbkuN
69,Ota Kiinni,Politics And Protest,0,285.17832,110.787,8739,https://open.spotify.com/track/3qK8x4GZcIkzTz9JEqvIF5
70,Entre Caníbales,Heartbreak,1990,246.69995,112.903,6352,https://open.spotify.com/track/28clONjZmul6FjfO6tZQDE
71,Rosemary Recalls,People And Places,1985,84.03546,115.642,6260,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
72,Sudanese Dance,People And Places,2000,273.52771,125.013,6370,https://open.spotify.com/track/03fT3OHB9KyMtGMt2zwqCT
73,Where The Thunder Roars (tales Of Wonder Album Version),People And Places,0,298.84036,113.277,4036,https://open.spotify.com/track/4TSLoVHmYcaeXkQJ87ijN0
74,Wanna Be A Player,People And Places,1997,161.38404,96.979,2840,https://open.spotify.com/track/5KNK5MIV76k4pfGDOLZAed
75,Panama (remastered Album Version),People And Places,0,209.29261,140.995,5916,https://open.spotify.com/track/3kasIG8wtp5kb15Uitx13W
76,Let's Get It Started,Politics And Protest,2004,229.61587,105.206,1992,https://open.spotify.com/track/0cAPfvvqFZsqsIz3ZDSKIa
77,Metal,People And Places,2000,426.89261,63.017,8713,https://open.spotify.com/track/2cCbzl5QTO0bWgjRPI6yPY
78,She Fell Away (2009 Digital Remaster),People And Places,0,269.26975,144.603,51,https://open.spotify.com/track/4CuMRpnTojfGIcljtoeBi6
79,Next Time,Sex,0,249.41669,167.92,6818,https://open.spotify.com/track/0WrIaFPKeJtGr1SUeKuYH9
80,It's My Party,Party Songs,1963,136.48934,129.122,7936,https://open.spotify.com/track/6meQO80LLQpNiGLfs2BFIh
81,Complicate It,Politics And Protest,2001,233.27302,132.022,5065,https://open.spotify.com/track/5y1Few8WyakfoyMvKYZigw
82,Monde De Fou,Love,2005,187.24526,183.92,7432,https://open.spotify.com/track/65nCVhtlWYUzNvcM1MYp4l
83,Opus A Satana (part 2),Heartbreak,0,72.61995,89.867,8636,https://open.spotify.com/track/7zXbRVc0HVOXji32CfzjeX
84,This Melody (live),Love,0,272.63955,119.896,3920,https://open.spotify.com/track/70CtpUY5b3kJHXxKtMO9Hk
85,I'm Gone This Time,Politics And Protest,0,142.75873,137.29,290,https://open.spotify.com/track/6BOtDFg6GJm0rPUDuNmx57
86,You Feel Good All Over,Love,2002,194.11546,82.343,5206,https://open.spotify.com/track/5g1L3zMW3j82RLN4KdRig2
87,Indian Love Call,People And Places,1990,195.91791,91.487,7381,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
88,You Can Still Be Free,People And Places,1999,118.33424,84.69,7687,https://open.spotify.com/track/3uRytee5BNgbkgsOnBoRNI
89,I Never Came,Heartbreak,2005,288.41751,115.606,4440,https://open.spotify.com/track/7tbdmoNsMs0SSoBAGioJwW
90,Dixie,Sex,0,123.21914,126.523,2544,https://open.spotify.com/track/3RFLnjntiXZQtF8ziAcACu
91,Commercial Reign,People And Places,1990,283.76771,113.677,7030,https://open.spotify.com/track/0Jqp1w0BDsvlwmeaoi68dH
92,Hourglass,Party Songs,0,239.3073,86.938,5653,https://open.spotify.com/track/1KI4z9FxPqTenWE9gCurEh
93,Wake,Heartbreak,0,206.75873,141.936,3352,https://open.spotify.com/track/5wsNvmX0ocP2UhMkLq1lNG
94,Caricia Y Herida,Heartbreak,0,134.81751,106.049,2615,https://open.spotify.com/track/3V2HxgWjlucJK1TSa9AZyt
95,Wkya (drop),Politics And Protest,2001,124.18567,85.008,2315,https://open.spotify.com/track/5sucFVShiMyJIYrF4uMaR4
96,Teräslintu,Politics And Protest,0,134.08608,133.699,5028,https://open.spotify.com/track/6zdDWRzaaRopQdfnX1WOMo
97,Now's The Time To Fall In Love,Love,0,155.61098,118.975,3546,https://open.spotify.com/track/3GmzwJV06f01KMHe4rAzwI
98,Grim Prospects (gross Prospects - Bad Trip Remix),Politics And Protest,0,275.40853,102.408,8204,https://open.spotify.com/track/4c9M2f3dd2G0y35ZYK31mk
99,Mangos,Party Songs,1961,223.4771,112.006,3257,https://open.spotify.com/track/6rUp7v3l8yC4TKxAAR5Bmx
100,A Distant Voice,Politics And Protest,0,443.24526,45.527,294,https://open.spotify.com/track/6iWs0J0CnadMMbxLQtZrCG
101,Openbare Weg,Heartbreak,2006,177.81506,85.621,3308,https://open.spotify.com/track/56o9jizzI7tJKPUO0tUAnA
102,President Johnson,Politics And Protest,2000,385.33179,108.061,3585,https://open.spotify.com/track/60GQ8CxhaEAb1fLfXdHadM
103,Lead Me Lord,Love,1995,324.44036,216.195,4781,https://open.spotify.com/track/6NNIHshSAVQ1SM2NbTVn6a
104,Spontanous Combustion,Politics And Protest,0,275.12118,132.428,1640,https://open.spotify.com/track/68iMc2cxaPkVm5oEHHqHqL
105,Choro,Love,0,294.66077,168.307,7922,https://open.spotify.com/track/6wjAwdr1AqYgyn1fVV2wRr
106,Ma Louise,Life And Death,0,193.20118,140.956,1216,https://open.spotify.com/track/7MYmo0JJJDmu4MZTSAF9y3
107,I Want You (forever),Heartbreak,1991,357.82485,130.016,5437,https://open.spotify.com/track/1IJRlHb7Ven9yHvDm3uwu3
108,Hate,Heartbreak,1997,198.3473,175.769,1527,https://open.spotify.com/track/6ieof4HGJW0eNSnnlMmFkw
109,I Can't Stop Loving You,Politics And Protest,2005,261.95546,100.194,5031,https://open.spotify.com/track/6Mbh2rYhQc28UaGxkpKPTT
110,Thank You Lord,Love,1985,176.27383,151.911,551,https://open.spotify.com/track/6BCrbWBpb8d6KWmEqZ41tr
111,How Can You Call That Beautiful (stewkey Vocal),People And Places,0,220.89098,119.691,6390,https://open.spotify.com/track/3eILFTQxLvpLPZmQt8Yql1
